year,month,day,close,close_lag,close_prev_year
2017,11,14,994,999.25,947
2017,11,15,1000.25,994,945.5
2017,11,16,998.5,1000.25,946
2017,11,17,1011.75,998.5,951.75
2017,11,21,1013.5,1013.75,956.5
2017,11,22,1018.25,1013.5,958.5
2017,11,28,1017,1017,967.25
2017,11,29,1015.75,1017,961.5
2017,11,30,1013.25,1015.75,956.5
2017,12,1,1019.75,1013.25,957.25
2017,12,5,1024.75,1020,963.25
2017,12,6,1021,1024.75,963
2017,12,7,1011.75,1021,966.5
2017,12,8,1010.5,1011.75,958
2017,12,12,1002,1006.5,969.25
2017,12,13,1004.75,1002,967.5
2017,12,14,999.75,1004.75,965
2017,12,15,1000.5,999.75,967.25
2017,12,19,991.75,996.5,963.25
2017,12,20,991.75,991.75,957.5
2017,12,21,991.75,991.75,961
2017,12,22,992,991.75,952
2017,12,27,999.5,1000,962
2017,12,28,995,999.5,956.25
2017,12,29,996.5,995,954
2018,1,3,1002.25,1001.5,946.25
2018,1,4,1001.5,1002.25,958.25
2018,1,5,1003.25,1001.5,955.75
2018,1,9,1001,1002,951
2018,1,10,994.25,1001,956.25
2018,1,11,992.5,994.25,953
2018,1,12,1004.25,992.5,962
2018,1,17,1007,1007,958.25
2018,1,18,1011,1007,964.5
2018,1,19,1010.75,1011,963.75
2018,1,23,1013.25,1013.5,965
2018,1,24,1015.75,1013.25,965.75
2018,1,25,1016.75,1015.75,964.75
2018,1,26,1013.5,1016.75,965.25
2018,1,30,1018.75,1015.75,953
2018,1,31,1016.25,1018.75,950.5
2018,2,1,1011.75,1016.25,961
2018,2,2,1006,1011.75,965.5
2018,2,6,1012,1000.75,963.75
2018,2,7,1008.25,1012,963.5
2018,2,8,1011.75,1008.25,967.5
2018,2,9,1007.5,1011.75,966.5
2018,2,13,1014.25,1014.25,966.75
2018,2,14,1010.75,1014.25,965.75
2018,2,15,1015,1010.75,972.75
2018,2,16,1014.5,1015,967.25
2018,2,21,1016,1016.5,965.75
2018,2,22,1015.25,1016,967.25
2018,2,23,1017.75,1015.25,965.75
2018,2,27,1017,1018,967.25
2018,2,28,1015.75,1017,975.75
2018,3,1,1014,1015.75,985.25
2018,3,2,1010.75,1014,979
2018,3,6,1022.25,1014.75,983.75
2018,3,7,1022.5,1022.25,974.75
2018,3,8,1022.5,1022.5,970
2018,3,9,1011.75,1022.5,971
2018,3,13,1024.25,1019,971.25
2018,3,14,1013,1024.25,970.5
2018,3,15,1014.75,1013,969.25
2018,3,16,1020,1014.75,972.5
2018,3,20,1014,1012.25,972.25
2018,3,21,1013,1014,975.5
2018,3,22,1012.75,1013,976.5
2018,3,23,1011.75,1012.75,971.5
2018,3,27,1006.75,1011.25,966.5
2018,3,28,1003.25,1006.75,962.75
2018,3,29,1017.5,1003.25,959.75
2018,4,3,1006.25,1006.25,954.75
2018,4,4,994,1006.25,954.5
2018,4,5,1000.5,994,960
2018,4,6,1000,1000.5,954.25
2018,4,10,1011.25,1006,957.5
2018,4,11,1010.75,1011.25,952
2018,4,12,1008.25,1010.75,957
2018,4,13,1006.25,1008.25,961.5
2018,4,17,1006,1003.75,960.25
2018,4,18,1007.75,1006,956.75
2018,4,19,1007.75,1007.75,956.75
2018,4,20,1002.75,1007.75,952.25
2018,4,24,996,1001,961.5
2018,4,25,998,996,957
2018,4,26,997,998,955.25
2018,4,27,1005.75,997,955.5
2018,5,1,1012.5,1005.75,963.5
2018,5,2,1004.75,1012.5,963.75
2018,5,3,1005,1004.75,968.75
2018,5,4,1002,1005,963.25
2018,5,8,991.25,989.25,960.25
2018,5,9,988,991.25,966.5
2018,5,10,992.75,988,966.25
2018,5,11,989.75,992.75,964
2018,5,15,990.5,990.5,962
2018,5,16,990,990.5,968.75
2018,5,17,989.75,990,968.25
2018,5,18,988.25,989.75,952.5
2018,5,22,1006.25,1004.5,958
2018,5,23,1014,1006.25,955.5
2018,5,24,1012.25,1014,956.25
2018,5,25,1014,1012.25,943.5
2018,5,30,1007.5,1005.75,936.25
2018,5,31,1008.5,1007.5,938.25
2018,6,1,1014,1008.5,938.25
2018,6,5,1006.25,1002.25,944.25
2018,6,6,1004,1006.25,947
2018,6,7,997.5,1004,949.5
2018,6,8,990.5,997.5,953.25
2018,6,12,985.25,985,949.5
2018,6,13,975.75,985.25,952.25
2018,6,14,966.75,975.75,955.75
2018,6,15,955.75,966.75,955.75
2018,6,19,943.75,954.5,963
2018,6,20,946,943.75,956.75
2018,6,21,937.25,946,946.75
2018,6,22,945.75,937.25,936.25
2018,6,26,924.75,928.75,937.5
2018,6,27,926.25,924.75,938.5
2018,6,28,922.75,926.25,941
2018,6,29,920,922.75,946
2018,7,3,913.25,915.75,982.25
2018,7,5,905.25,913.25,988.75
2018,7,6,935.75,905.25,988.75
2018,7,10,923.75,919.75,999.25
2018,7,11,910,923.75,1007.75
2018,7,12,912,910,1011.75
2018,7,13,904.5,912,984.5
2018,7,17,917.5,913.5,993.5
2018,7,18,919,917.5,993
2018,7,19,924.25,919,1002.25
2018,7,20,925.75,924.25,1014
2018,7,24,934.25,925.75,1004.75
2018,7,25,938.5,934.25,992.75
2018,7,26,934.5,938.5,992.75
2018,7,27,941.75,934.5,997.5
2018,7,31,968,946.75,996.75
2018,8,1,958,968,974.75
2018,8,2,956.75,958,986
2018,8,3,960.25,956.75,977.75
2018,8,7,962.75,952.5,981.75
2018,8,8,969.25,962.75,981.5
2018,8,9,963,969.25,980.25
2018,8,10,934,963,962.5
2018,8,14,944.5,937,963.25
2018,8,15,940.5,944.5,952
2018,8,16,960.25,940.5,954.25
2018,8,17,955.5,960.25,958.75
2018,8,21,953.5,955.5,962
2018,8,22,942.75,953.5,965
2018,8,23,927.25,942.75,966.75
2018,8,24,928.5,927.25,973.75
2018,8,28,919,926.5,970
2018,8,29,921.75,919,966.75
2018,8,30,915.75,921.75,965.75
2018,8,31,928,915.75,977.5
