year,month,day,close,close_lag,close_prev_year
2018,11,14,954.5,948.25,978.5
2018,11,15,954.75,954.5,985
2018,11,16,955,954.75,983
2018,11,20,947.5,940.25,998.5
2018,11,21,949.25,947.5,998
2018,11,27,945.75,935.75,1001.75
2018,11,28,955.75,945.75,1001.75
2018,11,29,951.25,955.75,1000.25
2018,11,30,956.25,951.25,997.75
2018,12,4,971.75,967.25,1004.75
2018,12,5,971.75,971.75,1010
2018,12,6,970.75,971.75,1006.25
2018,12,7,977,970.75,997.25
2018,12,11,977.5,973.5,992
2018,12,12,981,977.5,987.5
2018,12,13,971.25,981,990.5
2018,12,14,967,971.25,984
2018,12,18,972.25,969.5,980.25
2018,12,19,965.5,972.25,976.5
2018,12,20,959,965.5,976
2018,12,21,954,959,976.25
2018,12,26,943.25,954,984.75
2018,12,27,944,943.25,984.25
2018,12,28,954,944,979.5
2019,1,2,963,953.75,986.25
2019,1,3,967,963,987
2019,1,4,975,967,986.25
2019,1,8,976,978,986.75
2019,1,9,981.25,976,985.75
2019,1,10,967,981.25,978.75
2019,1,11,971.25,967,977
2019,1,16,957,957,991.75
2019,1,17,965.25,957,991.75
2019,1,18,972.5,965.25,995.75
2019,1,22,968,972.5,999
2019,1,23,972.25,968,1001.25
2019,1,24,972.25,972.25,1003.75
2019,1,25,978,972.25,1004.75
2019,1,29,972,976,1004
2019,1,30,973.25,972,1007
2019,1,31,969.75,973.25,1004.25
2019,2,1,971,969.75,999.75
2019,2,5,973.25,971.25,989
2019,2,6,976.5,973.25,1000.75
2019,2,7,970.25,976.5,996.75
2019,2,8,971,970.25,1000.25
2019,2,12,975,964.25,1002.75
2019,2,13,973.25,975,1002.75
2019,2,14,962.25,973.25,999.25
2019,2,15,966.25,962.25,1003.75
2019,2,20,963.25,960.5,1005.25
2019,2,21,968.5,963.25,1005.75
2019,2,22,968.75,968.5,1004.75
2019,2,26,964,969.5,1007.75
2019,2,27,964,964,1006.25
2019,2,28,959,964,1005.5
2019,3,1,961,959,1005.75
2019,3,5,965,966.25,1004.75
2019,3,6,953.75,965,1012.25
2019,3,7,950.75,953.75,1012.5
2019,3,8,946,950.75,1012.5
