year,month,day,close,close_lag,close_prev_year
2018,11,14,963.5,956.75,978.5
2018,11,15,963.25,963.5,985
2018,11,16,963.25,963.25,991
2018,11,20,956.75,949.25,1006.5
2018,11,21,958,956.75,1006
2018,11,27,954.5,944,1009.75
2018,11,28,963.75,954.5,1009.75
2018,11,29,958.75,963.75,1008.25
2018,11,30,964,958.75,1005.75
2018,12,4,978.25,974.5,1012.75
2018,12,5,979,978.25,1018
2018,12,6,978,979,1014.25
2018,12,7,984.25,978,1005.25
2018,12,11,984.75,981,1000
2018,12,12,987.75,984.75,995.5
2018,12,13,978.25,987.75,998.5
2018,12,14,973.75,978.25,992
2018,12,18,979.25,976.5,988.5
2018,12,19,973.25,979.25,984.25
2018,12,20,966.75,973.25,984
2018,12,21,961.75,966.75,984.25
2018,12,26,951.5,962.5,992.5
2018,12,27,952.25,951.5,992.25
2018,12,28,962,952.25,987.5
2019,1,2,970,961.75,994
2019,1,3,973,970,994.75
2019,1,4,980.75,973,994.25
2019,1,8,982,983.5,994.75
2019,1,9,987,982,993.75
2019,1,10,973.25,987,986.75
2019,1,11,977.75,973.25,985
2019,1,16,964,964.5,999.5
2019,1,17,971.75,964,999.5
2019,1,18,979,971.75,1003.5
2019,1,22,974,979,1006.5
2019,1,23,977.75,974,1008.75
2019,1,24,977.25,977.75,1011.25
2019,1,25,983,977.25,1012.25
2019,1,29,977,980.25,1011.5
2019,1,30,978.25,977,1014.5
2019,1,31,975,978.25,1011.75
2019,2,1,976.25,975,1007.25
2019,2,5,978.25,976.5,996.5
2019,2,6,982,978.25,1008.25
2019,2,7,976,982,1004.25
2019,2,8,976.25,976,1007.75
2019,2,12,980.75,969.75,1010.25
2019,2,13,978.5,980.75,1010.25
2019,2,14,968.25,978.5,1006.75
2019,2,15,972,968.25,1011.25
2019,2,20,968.75,966.5,1012.75
2019,2,21,974,968.75,1013.25
2019,2,22,973.5,974,1012.25
2019,2,26,969.5,974,1015.25
2019,2,27,969.25,969.5,1013.75
2019,2,28,964.75,969.25,1013
2019,3,1,966.25,964.75,1013.25
2019,3,5,971.5,972,1012.25
2019,3,6,960.25,971.5,1019.75
2019,3,7,956.5,960.25,1020
2019,3,8,952,956.5,1020
2019,3,12,954.75,948.5,1016.5
2019,3,13,958,954.75,1021.75
2019,3,14,955,958,1010.5
2019,3,15,962.5,955,1012.25
2019,3,19,960,959.75,1009.75
2019,3,20,960.5,960,1011.5
2019,3,21,964.25,960.5,1010.5
2019,3,22,954.75,964.25,1010.25
2019,3,26,952.5,957.5,1008.75
2019,3,27,942.5,952.5,1004.25
2019,3,28,942.25,942.5,1000.75
2019,3,29,938.25,942.25,1017
2019,4,2,954.5,948,1005.75
2019,4,3,954,954.5,1005.75
2019,4,4,960.75,954,993.5
2019,4,5,955.5,960.75,1000
2019,4,9,954.75,955,999.75
2019,4,10,957,954.75,1004.5
2019,4,11,951.5,957,1003.75
2019,4,12,950.5,951.5,1001.25
2019,4,16,944.75,953.5,993.75
2019,4,17,937,944.75,995
2019,4,18,938,937,999.75
2019,4,23,923,934.5,994
2019,4,24,916.25,923,990.25
2019,4,25,920,916.25,992.25
2019,4,26,914.5,920,991.25
2019,4,30,902.5,907.75,1000
2019,5,1,901.75,902.5,1006.75
2019,5,2,894,901.75,999
2019,5,3,894.25,894,999.25
2019,5,7,884.25,886,983.5
2019,5,8,882.5,884.25,985.5
2019,5,9,871,882.5,982.25
2019,5,10,869.5,871,987
2019,5,14,891,865,984.75
2019,5,15,892,891,984.75
2019,5,16,896,892,984
2019,5,17,878.25,896,983
