,,,,,,,,
,,,,,,,Older Data ,
,,ZSK2020,ZSH2020,ZSN2020,,,ZSN2020,
,Date,Close,Close,,,,Date,Close
,11/14/2017,978.5,978.5,994,,,11/14/2016,947
,11/15/2017,985,985,1000.25,,,11/15/2016,945.5
,11/16/2017,991,983,998.5,,,11/16/2016,946
,11/17/2017,1004.5,996.5,1011.75,,,11/17/2016,951.75
,11/20/2017,1006.5,998.5,1013.75,,,11/18/2016,944.75
,11/21/2017,1006,998,1013.5,,,11/21/2016,956.5
,11/22/2017,1011,1003,1018.25,,,11/22/2016,958.5
,11/24/2017,1008.5,1000.5,1016,,,11/23/2016,956
,11/27/2017,1009.75,1001.75,1017,,,11/25/2016,962.5
,11/28/2017,1009.75,1001.75,1017,,,11/28/2016,967.25
,11/29/2017,1008.25,1000.25,1015.75,,,11/29/2016,961.5
,11/30/2017,1005.75,997.75,1013.25,,,11/30/2016,956.5
,12/01/2017,1012.5,1004.5,1019.75,,,12/01/2016,957.25
,12/04/2017,1012.75,1004.75,1020,,,12/02/2016,958.75
,12/05/2017,1018,1010,1024.75,,,12/05/2016,963.25
,12/06/2017,1014.25,1006.25,1021,,,12/06/2016,963
,12/07/2017,1005.25,997.25,1011.75,,,12/07/2016,966.5
,12/08/2017,1004,996,1010.5,,,12/08/2016,958
,12/11/2017,1000,992,1006.5,,,12/09/2016,973.25
,12/12/2017,995.5,987.5,1002,,,12/12/2016,969.25
,12/13/2017,998.5,990.5,1004.75,,,12/13/2016,967.5
,12/14/2017,992,984,999.75,,,12/14/2016,965
,12/15/2017,992.25,984.25,1000.5,,,12/15/2016,967.25
,12/18/2017,988.5,980.25,996.5,,,12/16/2016,968.25
,12/19/2017,984.25,976.5,991.75,,,12/19/2016,963.25
,12/20/2017,984,976,991.75,,,12/20/2016,957.5
,12/21/2017,984.25,976.25,991.75,,,12/21/2016,961
,12/22/2017,984.5,976.75,992,,,12/22/2016,952
,12/26/2017,992.5,984.75,1000,,,12/23/2016,948.75
,12/27/2017,992.25,984.25,999.5,,,12/27/2016,962
,12/28/2017,987.5,979.5,995,,,12/28/2016,956.25
,12/29/2017,989,981.25,996.5,,,12/29/2016,954
,01/02/2018,994,986.25,1001.5,,,12/30/2016,950
,01/03/2018,994.75,987,1002.25,,,01/03/2017,946.25
,01/04/2018,994.25,986.25,1001.5,,,01/04/2017,958.25
,01/05/2018,995.75,988,1003.25,,,01/05/2017,955.75
,01/08/2018,994.75,986.75,1002,,,01/06/2017,946
,01/09/2018,993.75,985.75,1001,,,01/09/2017,951
,01/10/2018,986.75,978.75,994.25,,,01/10/2017,956.25
,01/11/2018,985,977,992.5,,,01/11/2017,953
,01/12/2018,996.75,989,1004.25,,,01/12/2017,962
,01/16/2018,999.5,991.75,1007,,,01/13/2017,956
,01/17/2018,999.5,991.75,1007,,,01/17/2017,958.25
,01/18/2018,1003.5,995.75,1011,,,01/18/2017,964.5
,01/19/2018,1003.5,996,1010.75,,,01/19/2017,963.75
,01/22/2018,1006.5,999,1013.5,,,01/20/2017,967.5
,01/23/2018,1008.75,1001.25,1013.25,,,01/23/2017,965
,01/24/2018,1011.25,1003.75,1015.75,,,01/24/2017,965.75
,01/25/2018,1012.25,1004.75,1016.75,,,01/25/2017,964.75
,01/26/2018,1009,1001.5,1013.5,,,01/26/2017,965.25
,01/29/2018,1011.5,1004,1015.75,,,01/27/2017,966
,01/30/2018,1014.5,1007,1018.75,,,01/30/2017,953
,01/31/2018,1011.75,1004.25,1016.25,,,01/31/2017,950.5
,02/01/2018,1007.25,999.75,1011.75,,,02/01/2017,961
,02/02/2018,1001.5,994,1006,,,02/02/2017,965.5
,02/05/2018,996.5,989,1000.75,,,02/03/2017,957.25
,02/06/2018,1008.25,1000.75,1012,,,02/06/2017,963.75
,02/07/2018,1004.25,996.75,1008.25,,,02/07/2017,963.5
,02/08/2018,1007.75,1000.25,1011.75,,,02/08/2017,967.5
,02/09/2018,1003.5,996,1007.5,,,02/09/2017,966.5
,02/12/2018,1010.25,1002.75,1014.25,,,02/10/2017,966.5
,02/13/2018,1010.25,1002.75,1014.25,,,02/13/2017,966.75
,02/14/2018,1006.75,999.25,1010.75,,,02/14/2017,965.75
,02/15/2018,1011.25,1003.75,1015,,,02/15/2017,972.75
,02/16/2018,1010.5,1003,1014.5,,,02/16/2017,967.25
,02/20/2018,1012.75,1005.25,1016.5,,,02/17/2017,965.75
,02/21/2018,1013.25,1005.75,1016,,,02/21/2017,965.75
,02/22/2018,1012.25,1004.75,1015.25,,,02/22/2017,967.25
,02/23/2018,1014.75,1007.25,1017.75,,,02/23/2017,965.75
,02/26/2018,1015.25,1007.75,1018,,,02/24/2017,966.5
,02/27/2018,1013.75,1006.25,1017,,,02/27/2017,967.25
,02/28/2018,1013,1005.5,1015.75,,,02/28/2017,975.75
,03/01/2018,1013.25,1005.75,1014,,,03/01/2017,985.25
,03/02/2018,1008.25,1000.75,1010.75,,,03/02/2017,979
,03/05/2018,1012.25,1004.75,1014.75,,,03/03/2017,982.75
,03/06/2018,1019.75,1012.25,1022.25,,,03/06/2017,983.75
,03/07/2018,1020,1012.5,1022.5,,,03/07/2017,974.75
,03/08/2018,1020,1012.5,1022.5,,,03/08/2017,970
,03/09/2018,1009.25,1001.75,1011.75,,,03/09/2017,971
,03/12/2018,1016.5,1009,1019,,,03/10/2017,966
,03/13/2018,1021.75,1014.25,1024.25,,,03/13/2017,971.25
,03/14/2018,1010.5,1003,1013,,,03/14/2017,970.5
,03/15/2018,1012.25,1004.75,1014.75,,,03/15/2017,969.25
,03/16/2018,1017.5,1010,1020,,,03/16/2017,972.5
,03/19/2018,1009.75,1002.25,1012.25,,,03/17/2017,972.5
,03/20/2018,1011.5,1004,1014,,,03/20/2017,972.25
,03/21/2018,1010.5,1003,1013,,,03/21/2017,975.5
,03/22/2018,1010.25,1002.75,1012.75,,,03/22/2017,976.5
,03/23/2018,1009.25,1001.75,1011.75,,,03/23/2017,971.5
,03/26/2018,1008.75,1001.25,1011.25,,,03/24/2017,968
,03/27/2018,1004.25,996.75,1006.75,,,03/27/2017,966.5
,03/28/2018,1000.75,993.25,1003.25,,,03/28/2017,962.75
,03/29/2018,1017,1009.5,1017.5,,,03/29/2017,959.75
,04/02/2018,1005.75,1000.75,1006.25,,,03/30/2017,956.5
,04/03/2018,1005.75,1000.75,1006.25,,,03/31/2017,955
,04/04/2018,993.5,988.5,994,,,04/03/2017,954.75
,04/05/2018,1000,996,1000.5,,,04/04/2017,954.5
